,0,Lead Amount ppb,Partial Postal Code,Sample Number,Sampled Date
2684,,0.0575,M9B,1587784.0,2014-05-26
2600,,3.24,M6R,1587695.0,2014-05-26
2585,,0.0958,M5N,1587753.0,2014-05-26
2592,,1.62,M6P,1587398.0,2014-05-26
2584,,0.374,M6S,1587073.0,2014-05-26
2603,,0.115,M6N,1589172.0,2014-05-26
2613,,0.140,M4K,1589079.0,2014-05-26
2700,,1.51,M4J,1587008.0,2014-05-26
2648,,0.154,M4E,1587684.0,2014-05-26
2679,,<0.0500,M9N,1586531.0,2014-05-26
2653,,0.112,M4L,1587926.0,2014-05-26
2489,,<0.0500,M1K,1588962.0,2014-05-27
2556,,0.487,M3A,1589489.0,2014-05-27
2500,,3.50,M4R,1590754.0,2014-05-27
2519,,3.75,M4N,1588969.0,2014-05-27
2574,,2.16,M4J,1589943.0,2014-05-27
2481,,0.0980,M8Y,1588989.0,2014-05-27
2507,,0.202,M6S,1587948.0,2014-05-27
2555,,<0.0500,M6P,1587987.0,2014-05-27
2425,,0.374,M6G,1588806.0,2014-05-28
2434,,0.129,M6R,1588896.0,2014-05-28
2446,,8.99,M4T,1587310.0,2014-05-28
2431,,6.70,M4G,1589915.0,2014-05-28
2473,,0.0652,M9W,1588758.0,2014-05-28
2399,,4.42,M2N,1588904.0,2014-05-28
2401,,0.0622,M8Z,1589173.0,2014-05-28
2440,,<0.0500,M6S,1588813.0,2014-05-28
2445,,2.97,M6G,1590435.0,2014-05-28
2436,,0.241,M5R,1589165.0,2014-05-28
2339,,0.114,M4L,1589262.0,2014-05-29
2325,,0.217,M1M,1590734.0,2014-05-29
2346,,5.61,M6R,1589459.0,2014-05-29
2378,,<0.0500,M6P,1590374.0,2014-05-29
2365,,1.83,M4J,1589314.0,2014-05-29
2330,,0.0672,M6S,1589967.0,2014-05-29
2344,,4.50,M5M,1590656.0,2014-05-29
2364,,1.47,M4E,1589510.0,2014-05-29
2323,,0.346,M6E,1591033.0,2014-05-29
2349,,4.99,M4N,1587639.0,2014-05-29
2353,,0.538,M4L,1589385.0,2014-05-29
2262,,0.953,M8X,1590414.0,2014-05-30
2280,,0.125,M6H,1591574.0,2014-05-30
2310,,15.0,M6J,1590166.0,2014-05-30
2279,,0.106,M6S,1590411.0,2014-05-30
