,0,Lead Amount ppb,Partial Postal Code,Sample Number,Sampled Date
1832,,0.143,M4B,1597773.0,2014-06-10
1785,,0.575,M4J,1597009.0,2014-06-10
1802,,<0.0500,M6R,1594642.0,2014-06-10
1786,,0.181,M4V,1595312.0,2014-06-10
1807,,0.195,M8X,1595313.0,2014-06-10
1830,,0.300,M9R,1594661.0,2014-06-10
1814,,2.01,M6H,1594863.0,2014-06-10
1809,,<0.0500,M4W,1597091.0,2014-06-10
1805,,1.39,M5M,1595401.0,2014-06-10
1788,,0.880,M5B,1597030.0,2014-06-10
1812,,0.249,M6E,1594735.0,2014-06-10
1783,,1.31,M6P,1594622.0,2014-06-10
1779,,1.42,M4C,1597087.0,2014-06-10
1778,,2.16,M6R,1594515.0,2014-06-10
1741,,5.07,M6E,1598840.0,2014-06-11
1767,,<0.0500,M4J,1598401.0,2014-06-11
1746,,5.56,M5M,1598718.0,2014-06-11
1754,,0.0537,M6S,1594684.0,2014-06-11
1762,,0.0584,M4N,1598783.0,2014-06-11
1750,,0.873,M6B,1599965.0,2014-06-11
1759,,5.07,M4L,1596883.0,2014-06-11
1763,,<0.0500,M5M,1598795.0,2014-06-11
1771,,6.54,M6E,1595360.0,2014-06-11
1770,,<0.0500,M6N,1599905.0,2014-06-11
1773,,0.974,M6N,1599135.0,2014-06-11
1756,,0.0609,M5P,1598918.0,2014-06-11
1766,,0.384,M6C,1598824.0,2014-06-11
1744,,0.288,M4G,1613268.0,2014-06-11
1761,,1.11,M4M,1596663.0,2014-06-11
1747,,1.50,M6R,1594516.0,2014-06-11
1751,,0.546,M4C,1598323.0,2014-06-11
1742,,0.777,M9R,1600384.0,2014-06-11
1755,,0.119,M6S,1594640.0,2014-06-11
1760,,0.260,M6R,1594519.0,2014-06-11
1745,,0.476,M6K,1594497.0,2014-06-11
1749,,5.56,M4J,1600613.0,2014-06-11
1774,,0.0588,M3H,1598846.0,2014-06-11
1743,,19.7,M6N,1600476.0,2014-06-11
1740,,1.09,M6H,1594529.0,2014-06-11
1772,,5.36,M4C,1596742.0,2014-06-11
1753,,1.96,M6P,1594668.0,2014-06-11
1764,,5.36,M4C,1597811.0,2014-06-11
1758,,2.16,M6P,1594725.0,2014-06-11
1757,,0.0957,M1T,1594702.0,2014-06-11
1765,,0.142,M2L,1603672.0,2014-06-11
1748,,0.0855,M6R,1595310.0,2014-06-11
1768,,0.0858,M6G,1595370.0,2014-06-11
1769,,0.0760,M4K,1596884.0,2014-06-11
1725,,2.03,M4N,1598715.0,2014-06-12
1734,,0.186,M4N,1599162.0,2014-06-12
1723,,4.94,M6P,1598938.0,2014-06-12
1720,,1.61,M5M,1600612.0,2014-06-12
1721,,0.0691,M6P,1598936.0,2014-06-12
1717,,8.58,M4L,1597804.0,2014-06-12
1724,,0.263,M4G,1598372.0,2014-06-12
1718,,0.150,M6E,1597036.0,2014-06-12
1715,,2.81,M4J,1597106.0,2014-06-12
1729,,4.04,M6H,1598990.0,2014-06-12
1733,,4.50,M4J,1598337.0,2014-06-12
1732,,<0.0500,M4K,1598325.0,2014-06-12
1709,,6.33,M6R,1599957.0,2014-06-12
1712,,<0.0500,M4C,1598402.0,2014-06-12
1727,,<0.0500,M6P,1599876.0,2014-06-12
1735,,0.271,M4J,1598363.0,2014-06-12
1736,,13.5,M5V,1600493.0,2014-06-12
1716,,1.40,M6A,1599958.0,2014-06-12
1722,,0.239,M6J,1598929.0,2014-06-12
1731,,0.110,M1N,1594872.0,2014-06-12
1738,,4.60,M4M,1599968.0,2014-06-12
1726,,1.62,M4B,1598326.0,2014-06-12
1710,,7.50,M4C,1601134.0,2014-06-12
1713,,0.0985,M6P,1599006.0,2014-06-12
1728,,<0.0500,M5N,1598988.0,2014-06-12
1730,,<0.0500,M6S,1599021.0,2014-06-12
1695,,0.416,M4N,1598935.0,2014-06-13
1692,,0.105,M1N,1598415.0,2014-06-13
1699,,0.292,M4K,1598373.0,2014-06-13
1704,,<0.0500,M5N,1598703.0,2014-06-13
1698,,0.0624,M1R,1603770.0,2014-06-13
1706,,0.0742,M6P,1599926.0,2014-06-13
1705,,<0.0500,M1C,1603705.0,2014-06-13
1703,,0.328,M4G,1598376.0,2014-06-13
1707,,0.122,M3H,1598837.0,2014-06-13
1696,,5.10,M4J,1598348.0,2014-06-13
1694,,2.08,M4M,1600492.0,2014-06-13
1697,,1.29,M6P,1599927.0,2014-06-13
1700,,10.0,M6R,1598934.0,2014-06-13
1701,,0.467,M9M,1599184.0,2014-06-13
1691,,<0.0500,M4L,1600659.0,2014-06-13
1689,,0.0693,M4L,1600035.0,2014-06-13
1693,,<0.0500,M1N,1600932.0,2014-06-13
1685,,0.0994,M5N,1613585.0,2014-06-14
1684,,<0.0500,M3A,1598720.0,2014-06-14
1686,,25.1,M4C,1598322.0,2014-06-14
1687,,2.52,M4J,1597796.0,2014-06-14
1683,,<0.0500,M6B,1607765.0,2014-06-14
1671,,0.133,M5A,1599967.0,2014-06-15
1680,,<0.0500,M6G,1603323.0,2014-06-15
1675,,0.0625,M6K,1600554.0,2014-06-15
1673,,0.278,M4G,1598414.0,2014-06-15
1679,,0.299,M4B,1599996.0,2014-06-15
1676,,0.134,M2N,1600931.0,2014-06-15
1672,,0.157,M6R,1598908.0,2014-06-15
1674,,6.05,M4N,1598760.0,2014-06-15
1681,,0.0712,M9W,1598810.0,2014-06-15
1682,,0.866,M8V,1600640.0,2014-06-15
1650,,<0.0500,M4E,1604413.0,2014-06-16
1639,,2.57,M5N,1598753.0,2014-06-16
1660,,9.24,M5M,1598839.0,2014-06-16
1662,,0.443,M4T,1600630.0,2014-06-16
1638,,<0.0500,M5R,1600458.0,2014-06-16
1664,,0.248,M6P,1603499.0,2014-06-16
1633,,2.37,M4E,1598327.0,2014-06-16
1652,,0.152,M9B,1599995.0,2014-06-16
1665,,0.299,M6S,1601141.0,2014-06-16
1666,,0.691,M4C,1600639.0,2014-06-16
1649,,3.18,M4R,1598838.0,2014-06-16
1658,,1.75,M6H,1599209.0,2014-06-16
1630,,36.1,M4C,1601532.0,2014-06-16
1629,,0.160,M6H,1600938.0,2014-06-16
1663,,0.206,M2R,1598836.0,2014-06-16
1667,,0.0959,M4V,1600400.0,2014-06-16
1631,,3.93,M5R,1599950.0,2014-06-16
1644,,1.80,M4K,1597093.0,2014-06-16
1646,,0.375,M4S,1598704.0,2014-06-16
1670,,0.0877,M6P,1602147.0,2014-06-16
1648,,0.108,M4X,1603756.0,2014-06-16
1645,,1.23,M1N,1603673.0,2014-06-16
1651,,4.40,M4C,1603669.0,2014-06-16
1632,,6.38,M5M,1598717.0,2014-06-16
1655,,0.0918,M6G,1598947.0,2014-06-16
1656,,0.0815,M4G,1598431.0,2014-06-16
1643,,1.19,M6S,1599928.0,2014-06-16
1661,,0.103,M4C,1599969.0,2014-06-16
1641,,0.0807,M4J,1598324.0,2014-06-16
1635,,1.10,M4L,1601099.0,2014-06-16
1668,,0.0626,M8Z,1598957.0,2014-06-16
1654,,5.04,M6N,1614474.0,2014-06-16
1636,,0.0736,M4W,1600468.0,2014-06-16
1647,,0.900,M5A,1603744.0,2014-06-16
1599,,0.0938,M6C,1598964.0,2014-06-17
1596,,11.7,M5M,1601464.0,2014-06-17
1617,,0.998,M6S,1599126.0,2014-06-17
1611,,0.196,M4N,1598927.0,2014-06-17
1592,,0.147,M4K,1597803.0,2014-06-17
1608,,0.201,M3H,1601796.0,2014-06-17
1613,,4.65,M5M,1606285.0,2014-06-17
1624,,0.141,M4E,1600037.0,2014-06-17
1616,,3.64,M5N,1601467.0,2014-06-17
1621,,1.82,M6E,1598926.0,2014-06-17
1591,,<0.0500,M1B,1603601.0,2014-06-17
1614,,0.255,M4C,1600028.0,2014-06-17
1606,,4.93,M1N,1600039.0,2014-06-17
1604,,0.406,M6P,1603413.0,2014-06-17
1620,,1.65,M4C,1599999.0,2014-06-17
1607,,0.136,M4K,1604360.0,2014-06-17
1594,,<0.0500,M5G,1601107.0,2014-06-17
1619,,0.0825,M4C,1598369.0,2014-06-17
1612,,0.284,M6H,1599008.0,2014-06-17
1598,,6.27,M6R,1599281.0,2014-06-17
1605,,3.61,M5R,1601108.0,2014-06-17
1610,,0.0522,M4B,1597711.0,2014-06-17
1628,,5.52,M5M,1601648.0,2014-06-17
1615,,2.88,M4J,1600003.0,2014-06-17
1601,,<0.0500,M1G,1603694.0,2014-06-17
1595,,2.13,M6H,1599900.0,2014-06-17
1626,,5.77,M4C,1597736.0,2014-06-17
1627,,23.6,M4S,1600448.0,2014-06-17
1625,,1.73,M6R,1603495.0,2014-06-17
1593,,0.158,M6C,1602204.0,2014-06-17
1622,,0.300,M4E,1601166.0,2014-06-17
1589,,4.22,M6R,1599896.0,2014-06-17
1553,,<0.0500,M5P,1598716.0,2014-06-18
1559,,0.232,M3C,1598377.0,2014-06-18
1567,,0.192,M6C,1601649.0,2014-06-18
1580,,<0.0500,M9C,1599128.0,2014-06-18
1548,,2.21,M6P,1601111.0,2014-06-18
1586,,1.42,M6H,1603450.0,2014-06-18
1554,,1.24,M6H,1600960.0,2014-06-18
1570,,0.812,M6G,1603475.0,2014-06-18
1563,,4.86,M6C,1607791.0,2014-06-18
1542,,0.114,M6H,1601647.0,2014-06-18
1583,,0.0793,M8X,1603791.0,2014-06-18
1550,,<0.0500,M1L,1601644.0,2014-06-18
1555,,0.613,M4E,1601143.0,2014-06-18
1571,,0.0689,M6G,1600425.0,2014-06-18
1579,,4.00,M4L,1599998.0,2014-06-18
1562,,0.393,M9R,1603306.0,2014-06-18
1547,,6.91,M6J,1600557.0,2014-06-18
1544,,0.860,M6G,1600657.0,2014-06-18
1552,,<0.0500,M6R,1603423.0,2014-06-18
1576,,<0.0500,M4E,1606661.0,2014-06-18
1565,,3.03,M6C,1607798.0,2014-06-18
1557,,2.90,M6P,1600617.0,2014-06-18
1558,,0.284,M1P,1603682.0,2014-06-18
1588,,<0.0500,M8Z,1603871.0,2014-06-18
1551,,0.213,M4C,1600038.0,2014-06-18
1561,,12.0,M5M,1601804.0,2014-06-18
1545,,<0.0500,M6L,1601817.0,2014-06-18
1546,,0.305,M4C,1604334.0,2014-06-18
1577,,1.13,M6P,1603571.0,2014-06-18
1566,,0.118,M4L,1600435.0,2014-06-18
1572,,0.0692,M4J,1600027.0,2014-06-18
1568,,0.0833,M6G,1603428.0,2014-06-18
1581,,0.0614,M4J,1604331.0,2014-06-18
1549,,0.141,M6E,1600614.0,2014-06-18
1578,,0.0635,M6P,1603793.0,2014-06-18
1569,,0.255,M4M,1600641.0,2014-06-18
1560,,0.304,M5M,1598724.0,2014-06-18
1582,,0.197,M6C,1600941.0,2014-06-18
1543,,0.472,M4L,1600658.0,2014-06-18
1529,,14.7,M4R,1601794.0,2014-06-19
1510,,2.52,M4L,1601813.0,2014-06-19
1527,,0.0921,M1B,1606428.0,2014-06-19
1506,,1.39,M4L,1603643.0,2014-06-19
1539,,3.05,M4T,1606426.0,2014-06-19
1535,,0.202,M5N,1601570.0,2014-06-19
1509,,0.943,M6G,1603356.0,2014-06-19
1503,,<0.0500,M6P,1603659.0,2014-06-19
1532,,0.0597,M6S,1602148.0,2014-06-19
1508,,0.0642,M4C,1604332.0,2014-06-19
1526,,0.570,M6H,1603347.0,2014-06-19
1528,,0.0782,M4G,1601563.0,2014-06-19
1515,,0.190,M5A,1598923.0,2014-06-19
1502,,2.56,M4K,1603935.0,2014-06-19
1541,,1.42,M4S,1601834.0,2014-06-19
1516,,0.0610,M6M,1598925.0,2014-06-19
1537,,0.386,M6R,1603271.0,2014-06-19
1523,,0.132,M5M,1601643.0,2014-06-19
1522,,2.92,M4M,1600618.0,2014-06-19
1512,,0.0915,M4J,1600001.0,2014-06-19
1507,,0.0700,M6J,1602206.0,2014-06-19
1534,,0.104,M6P,1603424.0,2014-06-19
1521,,1.18,M5R,1603607.0,2014-06-19
1505,,0.224,M6C,1603509.0,2014-06-19
1533,,0.0655,M2N,1601463.0,2014-06-19
1538,,0.696,M6G,1601847.0,2014-06-19
1525,,0.182,M5M,1601466.0,2014-06-19
1504,,2.62,M4X,1600426.0,2014-06-19
1540,,0.418,M2M,1601793.0,2014-06-19
1519,,0.162,M6H,1603414.0,2014-06-19
1524,,<0.0500,M9B,1603769.0,2014-06-19
1513,,0.269,M6S,1602215.0,2014-06-19
1518,,0.209,M1N,1604409.0,2014-06-19
1520,,0.379,M6K,1611738.0,2014-06-19
1500,,<0.0500,M6R,1602214.0,2014-06-20
1495,,1.29,M5R,1601837.0,2014-06-20
1489,,0.399,M6P,1603598.0,2014-06-20
1494,,1.16,M4E,1604343.0,2014-06-20
1501,,7.41,M4K,1600637.0,2014-06-20
1486,,1.22,M6G,1603309.0,2014-06-20
1488,,0.107,M5N,1601664.0,2014-06-20
1497,,1.02,M4K,1603888.0,2014-06-20
1498,,3.82,M4L,1603927.0,2014-06-20
1485,,0.0800,M1N,1603937.0,2014-06-20
1493,,0.203,M2M,1601646.0,2014-06-20
1490,,0.109,M5M,1601575.0,2014-06-20
1492,,<0.0500,M9B,1603766.0,2014-06-20
1496,,1.72,M6J,1601106.0,2014-06-20
1491,,0.159,M3A,1601803.0,2014-06-20
1483,,<0.0500,M6G,1606346.0,2014-06-21
1482,,5.68,M6H,1603497.0,2014-06-21
1484,,0.0976,M1S,1603794.0,2014-06-21
1481,,2.67,M8W,1603771.0,2014-06-21
1477,,<0.0500,M4B,1606226.0,2014-06-22
1474,,2.01,M6N,1603893.0,2014-06-22
1475,,2.65,M4E,1601815.0,2014-06-22
1478,,0.0972,M4N,1601850.0,2014-06-22
1479,,0.656,M4N,1601849.0,2014-06-22
1480,,<0.0500,M4J,1604348.0,2014-06-22
1444,,<0.0500,M1L,1601818.0,2014-06-23
1439,,0.262,M6H,1603583.0,2014-06-23
1442,,0.0659,M5S,1601811.0,2014-06-23
1458,,0.493,M6P,1603560.0,2014-06-23
1441,,<0.0500,M6P,1603488.0,2014-06-23
1468,,0.489,M6M,1603477.0,2014-06-23
1469,,0.125,M6S,1603802.0,2014-06-23
1449,,1.47,M4L,1603908.0,2014-06-23
1454,,0.0656,M2M,1601507.0,2014-06-23
1440,,0.0908,M4C,1606262.0,2014-06-23
1446,,0.126,M4J,1603940.0,2014-06-23
1459,,5.87,M6G,1603652.0,2014-06-23
1460,,1.68,M6R,1603476.0,2014-06-23
1466,,<0.0500,M9B,1603786.0,2014-06-23
1443,,0.267,M3H,1601468.0,2014-06-23
1456,,1.12,M5M,1601485.0,2014-06-23
1452,,0.100,M6R,1603479.0,2014-06-23
1457,,0.168,M9P,1603906.0,2014-06-23
1453,,0.0829,M2M,1601469.0,2014-06-23
1463,,2.49,M5M,1607838.0,2014-06-23
1445,,3.85,M6J,1601819.0,2014-06-23
1448,,0.0647,M6B,1601641.0,2014-06-23
1464,,1.21,M6H,1603624.0,2014-06-23
1438,,9.01,M5N,1601833.0,2014-06-23
1455,,0.171,M4B,1603913.0,2014-06-23
1467,,13.2,M4N,1607957.0,2014-06-23
1471,,0.225,M6H,1603431.0,2014-06-23
1425,,0.401,M4N,1607956.0,2014-06-24
1428,,0.151,M4N,1601840.0,2014-06-24
1434,,0.187,M6G,1606264.0,2014-06-24
1429,,0.323,M5A,1603838.0,2014-06-24
1432,,<0.0500,M6S,1603883.0,2014-06-24
1415,,0.135,M6P,1606224.0,2014-06-24
1430,,0.0762,M6R,1606425.0,2014-06-24
1422,,<0.0500,M4E,1603931.0,2014-06-24
1433,,0.281,M6R,1603635.0,2014-06-24
1435,,0.324,M6P,1603792.0,2014-06-24
1420,,1.41,M1N,1603675.0,2014-06-24
1416,,0.0628,M6P,1606227.0,2014-06-24
1419,,6.81,M4L,1606417.0,2014-06-24
1437,,0.233,M6P,1606258.0,2014-06-24
1412,,0.258,M6H,1606249.0,2014-06-24
1414,,1.85,M6K,1606222.0,2014-06-24
1423,,0.236,M6P,1606055.0,2014-06-24
1413,,0.289,M6P,1606214.0,2014-06-24
1431,,<0.0500,M6N,1603432.0,2014-06-24
1421,,5.58,M5M,1606229.0,2014-06-24
1418,,0.386,M6P,1603630.0,2014-06-24
1427,,2.03,M5M,1607950.0,2014-06-24
1424,,1.82,M5M,1601820.0,2014-06-24
1426,,0.363,M4G,1603910.0,2014-06-24
1436,,2.34,M4J,1603836.0,2014-06-24
1411,,0.132,M4J,1603921.0,2014-06-25
1397,,2.45,M4L,1603837.0,2014-06-25
1406,,<0.0500,M6P,1606265.0,2014-06-25
1402,,0.386,M4G,1604031.0,2014-06-25
1410,,0.124,M6C,1606263.0,2014-06-25
1405,,8.94,M4C,1603839.0,2014-06-25
1391,,0.141,M6P,1606105.0,2014-06-25
1403,,6.08,M6E,1606238.0,2014-06-25
1404,,3.21,M6S,1606047.0,2014-06-25
1400,,1.95,M6P,1606225.0,2014-06-25
1394,,2.12,M6J,1606052.0,2014-06-25
1399,,2.90,M4K,1603936.0,2014-06-25
1395,,2.75,M4K,1604353.0,2014-06-25
1401,,0.660,M6J,1606123.0,2014-06-25
1409,,5.41,M5R,1605450.0,2014-06-25
1377,,0.259,M4C,1603892.0,2014-06-26
1383,,0.0641,M6E,1602199.0,2014-06-26
1375,,0.149,M6E,1606246.0,2014-06-26
1373,,2.78,M6E,1606275.0,2014-06-26
1366,,3.04,M4W,1607951.0,2014-06-26
1380,,0.278,M8V,1606252.0,2014-06-26
1388,,<0.0500,M6G,1607784.0,2014-06-26
1386,,10.1,M6E,1607803.0,2014-06-26
1390,,0.142,M4X,1606579.0,2014-06-26
1374,,2.70,M4J,1604032.0,2014-06-26
1365,,0.618,M6S,1606156.0,2014-06-26
1370,,0.185,M5R,1606281.0,2014-06-26
1382,,2.53,M5M,1606138.0,2014-06-26
1378,,2.75,M6S,1606217.0,2014-06-26
1367,,4.58,M4M,1606274.0,2014-06-26
1371,,1.48,M5V,1606427.0,2014-06-26
1372,,0.180,M6S,1606063.0,2014-06-26
1387,,3.90,M4N,1606220.0,2014-06-26
1376,,0.438,M4S,1606193.0,2014-06-26
1369,,0.354,M4K,1606569.0,2014-06-26
1379,,0.268,M5T,1606216.0,2014-06-26
1381,,<0.0500,M6R,1606079.0,2014-06-26
1389,,3.42,M4L,1606677.0,2014-06-26
1384,,0.190,M6P,1606075.0,2014-06-26
1368,,1.31,M4T,1606211.0,2014-06-26
1354,,0.0992,M1K,1606261.0,2014-06-27
1355,,0.262,M5M,1607949.0,2014-06-27
1348,,0.139,M5P,1606213.0,2014-06-27
1360,,0.101,M4C,1606551.0,2014-06-27
1351,,3.82,M6E,1606192.0,2014-06-27
1363,,0.443,M5V,1606149.0,2014-06-27
1356,,<0.0500,M4K,1606090.0,2014-06-27
1344,,0.136,M4G,1606602.0,2014-06-27
1359,,0.925,M8W,1606040.0,2014-06-27
1349,,0.166,M1M,1606692.0,2014-06-27
1357,,1.37,M3B,1606395.0,2014-06-27
1350,,0.113,M6H,1606155.0,2014-06-27
1345,,9.18,M4R,1607916.0,2014-06-27
1352,,10.9,M4P,1607910.0,2014-06-27
1362,,0.173,M6R,1603308.0,2014-06-27
1353,,0.173,M4J,1606580.0,2014-06-27
1361,,0.744,M2N,1607823.0,2014-06-27
1342,,5.37,M4G,1606671.0,2014-06-28
1341,,0.230,M4L,1603840.0,2014-06-28
1340,,0.0826,M6J,1608398.0,2014-06-29
1337,,6.66,M4N,1607928.0,2014-06-30
1333,,6.20,M4M,1606215.0,2014-06-30
1321,,<0.0500,M4J,1606546.0,2014-06-30
1325,,0.151,M5M,1607781.0,2014-06-30
1330,,0.248,M6S,1606039.0,2014-06-30
1338,,0.0919,M4J,1604029.0,2014-06-30
1335,,0.574,M1L,1606703.0,2014-06-30
1339,,3.85,M4C,1603907.0,2014-06-30
1323,,5.06,M4C,1606548.0,2014-06-30
1332,,3.79,M5R,1606094.0,2014-06-30
1322,,<0.0500,M4K,1604338.0,2014-06-30
1326,,0.547,M6S,1606084.0,2014-06-30
1329,,2.72,M6G,1606348.0,2014-06-30
1324,,0.184,M6K,1606219.0,2014-06-30
1334,,0.0590,M9R,1606049.0,2014-06-30
1327,,0.929,M6H,1606122.0,2014-06-30
1313,,0.0651,M4E,1606570.0,2014-07-01
1314,,3.11,M4K,1606154.0,2014-07-01
1315,,<0.0500,M4M,1606608.0,2014-07-01
1319,,0.343,M6C,1607959.0,2014-07-01
1317,,10.6,M6K,1606057.0,2014-07-01
1318,,0.163,M4K,1606600.0,2014-07-01
1320,,0.0622,M3H,1607953.0,2014-07-01
1316,,9.98,M6C,1607854.0,2014-07-01
1300,,1.44,M4P,1606150.0,2014-07-02
1301,,0.162,M4V,1606267.0,2014-07-02
1302,,3.00,M4E,1606582.0,2014-07-02
1304,,0.514,M4X,1606153.0,2014-07-02
1305,,0.0980,M4N,1607915.0,2014-07-02
1303,,1.02,M8X,1606393.0,2014-07-02
1307,,0.0860,M1M,1612075.0,2014-07-02
1308,,0.702,M5M,1607826.0,2014-07-02
1309,,0.0532,M6E,1607807.0,2014-07-02
1310,,1.01,M8Y,1608375.0,2014-07-02
1311,,5.90,M4L,1607827.0,2014-07-02
1312,,<0.0500,M6P,1608404.0,2014-07-02
1306,,1.39,M6S,1608401.0,2014-07-02
1286,,5.87,M4J,1606145.0,2014-07-03
1287,,0.264,M6N,1608214.0,2014-07-03
1288,,3.21,M5M,1607912.0,2014-07-03
1290,,0.178,M4G,1606218.0,2014-07-03
1291,,3.70,M6P,1606056.0,2014-07-03
1292,,0.113,M4J,1607828.0,2014-07-03
1289,,7.35,M4L,1606607.0,2014-07-03
1294,,3.62,M4C,1609402.0,2014-07-03
1293,,1.88,M4J,1609207.0,2014-07-03
1298,,0.0712,M6P,1607799.0,2014-07-03
1297,,0.168,M5S,1606228.0,2014-07-03
1299,,0.905,M4L,1606706.0,2014-07-03
1295,,0.118,M5N,1607829.0,2014-07-03
1296,,0.463,M6S,1608206.0,2014-07-03
1271,,4.01,M6R,1608496.0,2014-07-04
1261,,1.13,M4J,1609256.0,2014-07-04
1262,,<0.0500,M4K,1609280.0,2014-07-04
1263,,0.266,M6P,1606048.0,2014-07-04
1264,,0.162,M4C,1607837.0,2014-07-04
1265,,1.08,M6P,1608213.0,2014-07-04
1266,,1.36,M4E,1609245.0,2014-07-04
1267,,0.156,M6P,1606051.0,2014-07-04
1268,,2.87,M5M,1607830.0,2014-07-04
1269,,<0.0500,M6R,1608205.0,2014-07-04
1270,,2.87,M4L,1606664.0,2014-07-04
1272,,0.134,M4C,1609395.0,2014-07-04
1282,,0.112,M6C,1608502.0,2014-07-04
1274,,<0.0500,M6H,1608374.0,2014-07-04
1275,,0.482,M4J,1609196.0,2014-07-04
1276,,1.58,M6R,1608219.0,2014-07-04
1277,,0.0953,M4C,1609389.0,2014-07-04
1278,,6.61,M5R,1607839.0,2014-07-04
1279,,0.387,M3L,1607778.0,2014-07-04
1280,,0.561,M6G,1608215.0,2014-07-04
1281,,5.32,M4C,1609206.0,2014-07-04
1283,,0.0604,M4K,1609363.0,2014-07-04
1284,,<0.0500,M6N,1608100.0,2014-07-04
1285,,0.136,M4B,1609220.0,2014-07-04
1273,,0.176,M5R,1607792.0,2014-07-04
1258,,0.167,M9A,1608218.0,2014-07-05
1260,,<0.0500,M4K,1611772.0,2014-07-05
1259,,1.32,M1N,1611893.0,2014-07-05
1248,,0.109,M6C,1620485.0,2014-07-06
1249,,4.25,M6C,1607855.0,2014-07-06
1250,,0.724,M4G,1607762.0,2014-07-06
1251,,0.261,M4B,1609253.0,2014-07-06
1257,,0.108,M4C,1611887.0,2014-07-06
1253,,1.73,M6P,1608397.0,2014-07-06
1254,,0.127,M2H,1611889.0,2014-07-06
1255,,0.280,M1L,1612085.0,2014-07-06
1256,,<0.0500,M9B,1608373.0,2014-07-06
1252,,0.971,M5R,1607779.0,2014-07-06
1233,,0.124,M4J,1609302.0,2014-07-07
1224,,0.0837,M4C,1609276.0,2014-07-07
1225,,0.735,M2N,1608512.0,2014-07-07
1226,,<0.0500,M9V,1608101.0,2014-07-07
1227,,0.142,M3H,1607930.0,2014-07-07
1228,,2.68,M6H,1608210.0,2014-07-07
1229,,0.0650,M4S,1607825.0,2014-07-07
1230,,5.33,M4G,1609222.0,2014-07-07
1231,,0.0852,M1E,1611922.0,2014-07-07
1232,,0.0586,M4C,1609195.0,2014-07-07
1234,,0.156,M9B,1608391.0,2014-07-07
1236,,1.19,M4C,1609343.0,2014-07-07
1246,,1.13,M4K,1608209.0,2014-07-07
1237,,0.0863,M9P,1608407.0,2014-07-07
1238,,3.60,M6H,1608138.0,2014-07-07
1239,,<0.0500,M4C,1607802.0,2014-07-07
1240,,8.22,M6R,1608136.0,2014-07-07
1241,,2.45,M6S,1608402.0,2014-07-07
1242,,0.640,M6S,1608217.0,2014-07-07
1243,,3.34,M4L,1609288.0,2014-07-07
1244,,0.503,M4C,1609296.0,2014-07-07
1245,,0.558,M1L,1609221.0,2014-07-07
1235,,4.01,M4L,1609257.0,2014-07-07
1247,,1.74,M5R,1607711.0,2014-07-07
1211,,0.192,M6A,1608207.0,2014-07-08
1210,,0.114,M5M,1608263.0,2014-07-08
1209,,0.597,M4J,1607804.0,2014-07-08
1212,,0.994,M6G,1608400.0,2014-07-08
1207,,<0.0500,M4J,1609255.0,2014-07-08
1206,,3.97,M4C,1613533.0,2014-07-08
1205,,29.9,M5N,1607777.0,2014-07-08
1208,,0.0887,M5P,1609297.0,2014-07-08
1213,,0.141,M6E,1608403.0,2014-07-08
1217,,13.4,M6S,1608225.0,2014-07-08
1215,,0.485,M4N,1611159.0,2014-07-08
1222,,24.9,M4J,1613594.0,2014-07-08
1221,,0.532,M5R,1613372.0,2014-07-08
1220,,<0.0500,M6C,1613586.0,2014-07-08
1214,,0.188,M4E,1613582.0,2014-07-08
1218,,0.160,M6A,1608211.0,2014-07-08
1223,,0.153,M6R,1608376.0,2014-07-08
1216,,0.208,M4C,1609258.0,2014-07-08
1219,,0.227,M6P,1608199.0,2014-07-08
1194,,0.141,M6S,1613510.0,2014-07-09
1187,,3.06,M6M,1611749.0,2014-07-09
1188,,3.28,M4E,1609295.0,2014-07-09
1189,,3.65,M4N,1608137.0,2014-07-09
1190,,<0.0500,M9W,1611834.0,2014-07-09
1191,,0.0656,M4B,1609317.0,2014-07-09
1192,,1.54,M6S,1613343.0,2014-07-09
1193,,4.20,M6R,1611770.0,2014-07-09
1186,,7.39,M4P,1611153.0,2014-07-09
1195,,<0.0500,M9R,1611707.0,2014-07-09
1197,,0.0829,M4B,1613200.0,2014-07-09
1198,,<0.0500,M4J,1611743.0,2014-07-09
1199,,42.8,M6G,1611750.0,2014-07-09
1200,,0.302,M2P,1611137.0,2014-07-09
1201,,0.260,M4K,1613296.0,2014-07-09
1202,,8.14,M4C,1609254.0,2014-07-09
1203,,0.772,M6C,1613351.0,2014-07-09
1204,,0.0893,M4L,1609244.0,2014-07-09
1196,,1.92,M4J,1609394.0,2014-07-09
1173,,0.139,M4P,1613199.0,2014-07-10
1172,,2.92,M4K,1613353.0,2014-07-10
1171,,0.937,M4N,1613595.0,2014-07-10
1168,,0.133,M6M,1611751.0,2014-07-10
1174,,0.241,M4P,1613278.0,2014-07-10
1169,,0.190,M5M,1613509.0,2014-07-10
1170,,<0.0500,M8Y,1611719.0,2014-07-10
1175,,0.136,M6R,1611705.0,2014-07-10
1183,,2.20,M4K,1613130.0,2014-07-10
1177,,0.0908,M1R,1611900.0,2014-07-10
1178,,0.0587,M1R,1612101.0,2014-07-10
1179,,0.269,M8X,1611727.0,2014-07-10
1180,,1.08,M4N,1608406.0,2014-07-10
1181,,0.0708,M6P,1611752.0,2014-07-10
1182,,0.263,M1R,1612091.0,2014-07-10
1184,,0.399,M6E,1613589.0,2014-07-10
1185,,3.33,M6G,1611886.0,2014-07-10
