,Sample Number,Sampled Date,Partial Postal Code,Lead Amount ppb
119,1818497,2015-11-12,M6S,1.84
117,1819524,2015-11-13,M4C,0.0588
118,1819498,2015-11-13,M4J,1.12
116,1828792,2015-11-14,M4L,2.49
115,1819504,2015-11-15,M4J,0.846
114,1819500,2015-11-16,M4E,0.158
113,1819532,2015-11-16,M4J,1.07
112,1819991,2015-11-16,M8X,0.131
111,1819499,2015-11-16,M6E,<0.0500
107,1824180,2015-11-17,M4L,0.533
110,1823094,2015-11-17,M4C,1.44
109,1825647,2015-11-17,M4G,0.632
108,1824177,2015-11-17,M4L,0.869
104,1824182,2015-11-18,M4K,1.62
105,1823107,2015-11-18,M6R,1.74
103,1823095,2015-11-18,M6P,0.654
102,1823093,2015-11-18,M6N,0.681
106,1824195,2015-11-18,M4L,<0.0500
101,1828897,2015-11-19,M4J,0.285
100,1824198,2015-11-20,M4B,<0.0500
99,1825618,2015-11-22,M4Y,<0.0500
98,1825586,2015-11-22,M6P,<0.0500
97,1824176,2015-11-22,M4E,2.06
92,1824196,2015-11-23,M4C,0.335
95,1826072,2015-11-23,M1N,<0.0500
96,1824175,2015-11-23,M4L,2.91
93,1826058,2015-11-23,M6S,0.454
91,1823092,2015-11-23,M1N,<0.0500
94,1825641,2015-11-23,M2N,0.156
90,1826063,2015-11-24,M3H,0.0834
89,1826046,2015-11-24,M6N,<0.0500
88,1824178,2015-11-24,M4E,0.0972
87,1826061,2015-11-24,M4N,<0.0500
86,1824199,2015-11-24,M4B,<0.0500
85,1825643,2015-11-25,M5M,4.06
84,1824197,2015-11-25,M4E,0.472
83,1826091,2015-11-25,M6H,1.48
82,1826146,2015-11-25,M6N,<0.0500
81,1826044,2015-11-25,M6S,<0.0500
79,1826059,2015-11-26,M6P,0.0519
80,1828814,2015-11-26,M4R,1.91
78,1826060,2015-11-27,M5S,<0.0500
76,1826045,2015-11-27,M6P,1.91
75,1828918,2015-11-27,M4J,0.0796
74,1826043,2015-11-27,M4J,<0.0500
73,1828869,2015-11-27,M4M,0.0571
77,1842428,2015-11-27,M1K,4.16
72,1825587,2015-11-28,M4E,1.37
71,1825157,2015-11-29,M1N,0.559
70,1828870,2015-11-29,M4J,0.122
69,1842425,2015-11-30,M1K,<0.0500
68,1828816,2015-11-30,M4E,1.58
67,1826090,2015-11-30,M8V,0.116
64,1828914,2015-12-01,M4L,1.26
63,1830480,2015-12-01,M4E,0.640
66,1828817,2015-12-01,M4C,0.583
65,1828456,2015-12-01,M1L,<0.0500
62,1842424,2015-12-02,M4A,0.0605
61,1828941,2015-12-02,M9C,2.55
60,1830485,2015-12-02,M4V,<0.0500
59,1828815,2015-12-03,M4M,<0.0500
58,1830487,2015-12-03,M6P,<0.0500
56,1828457,2015-12-03,M5M,3.51
57,1828793,2015-12-03,M4C,2.02
55,1828940,2015-12-04,M8V,3.54
54,1828791,2015-12-04,M4E,0.563
53,1830482,2015-12-07,M6C,1.32
52,1828919,2015-12-07,M4K,<0.0500
51,1832034,2015-12-08,M6J,0.723
50,1830484,2015-12-08,M6H,0.670
49,1830486,2015-12-08,M6H,1.04
45,1832046,2015-12-09,M6E,5.88
47,1830464,2015-12-09,M4W,0.179
48,1834897,2015-12-09,M4N,<0.0500
46,1832036,2015-12-09,M5M,0.111
43,1832037,2015-12-10,M4C,4.95
42,1830481,2015-12-10,M4W,<0.0500
41,1834924,2015-12-10,M4E,83.3
44,1832033,2015-12-10,M3C,<0.0500
40,1832047,2015-12-11,M6S,<0.0500
39,1832035,2015-12-11,M6C,<0.0500
38,1832039,2015-12-11,M4C,<0.0500
37,1832032,2015-12-13,M4R,2.23
36,1832038,2015-12-13,M4J,0.241
35,1848396,2015-12-13,M6E,0.882
34,1838093,2015-12-13,M6S,<0.0500
33,1833825,2015-12-14,M6S,1.37
32,1834925,2015-12-15,M3H,<0.0500
31,1837014,2015-12-16,M4C,<0.0500
29,1833587,2015-12-16,M4K,<0.0500
30,1833588,2015-12-16,M6S,0.226
28,1833826,2015-12-17,M8Z,0.0849
27,1833823,2015-12-17,M6H,1.53
26,1834928,2015-12-17,M4S,0.710
25,1833589,2015-12-17,M4C,1.31
24,1833586,2015-12-17,M4E,2.14
23,1833824,2015-12-18,M6H,0.155
22,1837024,2015-12-18,M4M,0.425
21,1833831,2015-12-18,M6K,0.126
20,1834930,2015-12-18,M6M,<0.0500
18,1834927,2015-12-20,M8V,<0.0500
19,1834932,2015-12-20,M6S,2.77
16,1837012,2015-12-21,M4E,0.590
15,1834931,2015-12-21,M6M,2.32
17,1834929,2015-12-21,M8X,0.940
14,1837700,2015-12-22,M4G,0.160
13,1838104,2015-12-22,M5S,<0.0500
12,1838092,2015-12-22,M5S,0.0821
11,1838090,2015-12-22,M4L,5.04
10,1837013,2015-12-22,M4L,0.0752
9,1837011,2015-12-22,M4K,0.0542
8,1834926,2015-12-22,M4L,1.14
7,1838111,2015-12-23,M6P,0.0932
5,1837037,2015-12-24,M4L,0.493
6,1837015,2015-12-24,M4J,0.0872
4,1838103,2015-12-24,M4L,8.29
3,1838109,2015-12-28,M5M,1.34
2,1838082,2015-12-29,M5A,0.146
1,1838110,2015-12-30,M6S,0.0949
0,1839002,2015-12-31,M4L,0.620
